Experiment,rev,typ,Created,parent,system.gpu.count,system.gpu.usage (%).0,system.gpu.usage (%).1,system.gpu.usage (%).2,system.gpu.usage (%).3,system.vram.usage (%).0,system.vram.usage (%).1,system.vram.usage (%).2,system.vram.usage (%).3,system.vram.usage (GB).0,system.vram.usage (GB).1,system.vram.usage (GB).2,system.vram.usage (GB).3,system.vram.total (GB).0,system.vram.total (GB).1,system.vram.total (GB).2,system.vram.total (GB).3,system.cpu.count,system.cpu.usage (%),system.cpu.parallelization (%),system.ram.usage (%),system.ram.usage (GB),system.ram.total (GB),system.disk.usage (%).main,system.disk.usage (GB).main,system.disk.total (GB).main,val.loss.-0.97,val.loss.-0.9,val.loss.-0.8,val.loss.-0.7,val.loss.-0.6,val.loss.-0.5,val.loss.-0.4,val.loss.-0.29,val.loss.-0.19,val.loss.-0.09,val.loss.0.0,val.loss.0.099,val.loss.0.200,val.loss.0.300,val.loss.0.4,val.loss.0.500,val.loss.0.6,val.loss.0.700,val.loss.0.800,val.loss.0.9,val.loss.0.966,val.loss.0.996,val.loss.upside_quantile,val.loss.ugliness,val.loss.MEAN,upper_quantile.train,upper_quantile.val,simple_upside.train,simple_upside.val,real_upside.train,real_upside.val,real_upside_50pct.train,real_upside_50pct.val,threshold_down.train,threshold_down.val,threshold_up.train,threshold_up.val,good_hours.train,good_hours.val,step_size,step,val.loss.-0.95,val.loss.0.975,val.loss.0.997,val.loss.0.973,val.loss.0.974,val.loss.-0.96,val.loss.0.972,val.loss.0.971,val.loss.0.970,val.loss.0.967,COLLECT_BUY_MINUTES,BUY_TIMEDELTA,train_model/params.yaml:LAST_DAYS_TRAIN,train_model/params.yaml:LAST_DAYS_VALIDATION,FOLDS_COUNT,KEEP_DATASET,DATASET_SPEEDUP,EXPECTED_MINIMAL_UPSIDE,MAX_UPSIDE,FORCE_RETRAIN,BUY_MINUTES,USE_ALL_FEATURES,TRAIN_SPEEDUP,THRESHOLDS,CATBOOST_PARAMS.iterations,CATBOOST_PARAMS.learning_rate,CATBOOST_PARAMS.max_depth,CATBOOST_PARAMS.task_type,CATBOOST_PARAMS.devices,CATBOOST_PARAMS.gpu_ram_part,CATBOOST_PARAMS.border_count,MINIMAL_UPSIDE,MAXIMIZE,INITIAL_WEIGHTS,VAL,VAL_SPEEDUP,BLEND_SEARCH_SPEEDUP,UPPER_QUANTILE,RETRAIN_ON_FULL_DATA,USE_DVC,OUR_BOTS_REL_UPSIDE_THRESHOLD,OUR_BOTS_SHITCOINS_WEIGHT_MULTIPLIER,OUR_BOTS_REL_UPSIDE_NORMALIZATION,UGLINESS_THRESHOLD,MAX_BID,MAX_PRICE_IMPACT,train_model/dvclive/params.yaml:LAST_DAYS_TRAIN,train_model/dvclive/params.yaml:LAST_DAYS_VALIDATION,model_id,model_engine,limit_timedelta_seconds,upper_quantile,minimal_upside,maximize,archive_name
,workspace,baseline,,,4.0,0.0,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,3.0100781249999997,3.984375,43.399999999999984,214.5004343032837,503.54037857055664,91.0,271.1583740234375,298.0,0.08127368217542028,0.14634075696929338,0.27045709625149006,0.3670599542060891,0.44494164686678567,0.5141191400858766,0.5773388665208916,0.6196861760832649,0.6500544552029609,0.647517321126932,0.5535859324498813,0.5225413543807946,0.4788938902131913,0.42869726182866175,0.3769425664060751,0.32815804097249285,0.27890053376956353,0.22311669436915038,0.16155996110560125,0.09216203665628096,0.03705121722739986,0.005435744199523875,0.5170606095626334,0.019484209865449815,0.347599131187321,0.99,0.99,60.05203628540039,-12.831901550292969,47.68891525268555,-64.0001449584961,0.24597206711769104,0.13369430601596832,0.3037396716460335,0.3037998619766207,0.33636914291500164,0.33641090476594376,0.6145251396648045,0.6022099447513812,0.001,20,,,,,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,1,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,c8f189,20240822_1m-c8f189,31,0.99,0.002,real_upside,20240822_1m-c8f189_fdima.tgz
,main,baseline,2024-07-30T13:39:01,,2.0,0.0,0.0,,,4.670452695000815,4.652896515225534,,,1.120361328125,1.11614990234375,,,23.98828125,23.98828125,,,128.0,0.9663281249999999,1.2109375,57.299999999999976,285.49581661224363,503.5190620422363,56.299999999999976,545.3815856933594,969.0,,0.11772508130480751,0.22832721936834757,0.31991930925014284,0.3986767005738967,0.4705095116380215,0.5409654334570937,0.6019156286844931,0.6429397037841307,0.6523478418109794,0.6241894909696106,0.5953410786257248,0.5556667048723244,0.5057620103943457,0.4510110206309749,0.3978997632004551,0.3413741613479648,0.279404797754746,0.20738659738740095,0.12207140054037793,,,0.5432980222859366,0.023024529230642375,0.3648790403108631,0.99,0.99,945.826416015625,852.0557250976562,252.71217346191406,220.50274658203125,1.2315174341201782,0.9741952419281006,0.22018417988992167,0.21984844907707587,0.34309372402603167,0.3450690316943945,0.768361581920904,0.807909604519774,0.001,15,0.09044318597379444,0.04137079243655436,0.005526981937948146,,,,,,,,"[1, 2, 3, 4, 5, 6, 9, 11, 18, 24, 30, 40, 50]",10,30,15,1,True,2,0,3,False,9,True,10,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,08724a,9m-ensemble-24-284s-20240711-08724a,284,0.99,0.002,real_upside,fdima_9m-ensemble-24-284s-20240711-08724a_min_max_features_30_max_upside_10_quantile_up.tgz
1m-all-feats-20240822-052159-true,e6c1aae,branch_commit,2024-08-22T05:45:39,,4.0,0.0,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,3.0100781249999997,3.984375,43.399999999999984,214.5004343032837,503.54037857055664,91.0,271.1583740234375,298.0,0.08127368217542028,0.14634075696929338,0.27045709625149006,0.3670599542060891,0.44494164686678567,0.5141191400858766,0.5773388665208916,0.6196861760832649,0.6500544552029609,0.647517321126932,0.5535859324498813,0.5225413543807946,0.4788938902131913,0.42869726182866175,0.3769425664060751,0.32815804097249285,0.27890053376956353,0.22311669436915038,0.16155996110560125,0.09216203665628096,0.03705121722739986,0.005435744199523875,0.5170606095626334,0.019484209865449815,0.347599131187321,0.99,0.99,60.05203628540039,-12.831901550292969,47.68891525268555,-64.0001449584961,0.24597206711769104,0.13369430601596832,0.3037396716460335,0.3037998619766207,0.33636914291500164,0.33641090476594376,0.6145251396648045,0.6022099447513812,0.001,20,,,,,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,1,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,c8f189,20240822_1m-c8f189,31,0.99,0.002,real_upside,20240822_1m-c8f189_fdima.tgz
60m-all-feats-20240821-084704-true,e37e6cc,branch_commit,2024-08-21T19:24:57,,4.0,0.0,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,3.2971874999999997,4.21875,43.29999999999998,214.02766914367675,503.54037857055664,90.90000000000003,270.80797271728517,298.0,,0.11355594945360939,0.22095772997188418,0.29489444687353605,0.3652531892146359,0.430336589959427,0.48786991861844736,0.5384874476931018,0.5958506743150829,0.6385023193828812,0.6408129479405326,0.6142473751359245,0.5757589301791933,0.51745564026818,0.4649432787259657,0.4092218306053131,0.35161447319837247,0.28806759206295834,0.214499130057922,0.12460161151838789,,,0.5303714276317758,0.019509933206018047,0.3581142227296765,0.99,0.99,613.8367919921875,644.8154296875,140.18936157226562,78.78164672851562,0.6384305059909821,0.48039354383945465,0.17662554847180234,0.17674449867231506,0.27872992920186873,0.2811495362737906,0.7409638554216867,0.6753246753246753,0.001,14,0.11389766822464607,,0.005618316135567154,0.03841292513887278,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,60,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,59f4e0,20240821_60m-59f4e0,1894,0.99,0.002,real_upside,20240821_60m-59f4e0_fdima.tgz
55m-all-feats-20240821-084704-true,3bb1e48,branch_commit,2024-08-21T18:58:31,,4.0,0.0,0.0,0.0,0.0,4.6277072138088275,4.611423220973781,4.611423220973781,4.611423220973781,1.110107421875,1.106201171875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.2220312499999997,3.203125,43.0,212.5459114074707,503.54037857055664,90.90000000000003,270.74884338378905,298.0,,0.11686075105408154,0.22237474150859884,0.2971192628691209,0.36736486563818715,0.4321613501921367,0.48855062755075707,0.5397254013882771,0.5986848997285429,0.6390890427414943,0.6449117927023342,0.6139771041339216,0.5741064005478261,0.5180029428360673,0.463659458004649,0.40959224474529665,0.3518933681677641,0.28783361918923944,0.21475770024061314,0.12438483700733788,,,0.5317947874788596,0.019505537325178277,0.35885104474129553,0.99,0.99,672.826416015625,648.4904174804688,120.0777587890625,69.20289611816406,0.5989369750022888,0.39189180731773376,0.48263721403657156,0.4828651446510683,0.7023667742555291,0.70552281218853,0.703030303030303,0.6645962732919255,0.001,19,0.11244735648739543,,0.005657942757268693,,0.037969039496144046,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,55,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,ede208,20240821_55m-ede208,1736,0.99,0.002,real_upside,20240821_55m-ede208_fdima.tgz
50m-all-feats-20240821-084704-true,56d3618,branch_commit,2024-08-21T18:27:08,,4.0,23.464491857348996,0.0,0.0,0.0,27.768227894479743,3.0336569776909306,3.0336569776909306,3.0336569776909306,6.66112060546875,0.72772216796875,0.72772216796875,0.72772216796875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.5796875,3.75,43.280000000000015,214.0290615081787,503.54037857055664,90.90000000000003,270.7642637252808,298.0,,0.11675072540623302,0.22266777705520452,0.29874510524724424,0.36950784636114564,0.43467373139871135,0.4921147131268994,0.5421017059108372,0.5997578733015444,0.6387765974238157,0.6428186603899514,0.6153251542745319,0.5757174285056835,0.5191192844152962,0.4629325415678187,0.40857551854949825,0.35040863687989326,0.28730460033640515,0.21354267763438423,0.1241778480247606,,,0.5332519576631165,0.019509570092396625,0.35920597921501685,0.99,0.99,516.24462890625,597.7612915039062,120.31692504882812,74.43907165527344,0.4958763122558594,0.34105241298675537,0.20306694502626743,0.20298688802324777,0.29562313789753747,0.2977454478400418,0.6927710843373494,0.6481481481481481,0.005,11,0.10914711549645854,,0.005533149026405451,,0.03848328307216756,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,50,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,b17552,20240821_50m-b17552,1578,0.99,0.002,real_upside,20240821_50m-b17552_fdima.tgz
45m-all-feats-20240821-084704-true,8b1ecc4,branch_commit,2024-08-21T18:02:03,,4.0,5.64927234927235,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,4.617109375,5.546875,43.374999999999986,214.16735172271729,503.54037857055664,90.90000000000003,270.754919052124,298.0,,0.11912906235281534,0.22262363307713312,0.3002598674026926,0.3715795396056496,0.4366778194649312,0.4944202533646107,0.5443018943608663,0.6009906391356302,0.6404653707265462,0.6441758711690382,0.6157165588367645,0.5740047957508057,0.5188051533417285,0.4631226749914252,0.407932120887759,0.35102745452936923,0.28690976779037936,0.21451499003994348,0.12488366463383724,,,0.5351314248915218,0.019511741963227365,0.3598642385676148,0.99,0.99,591.3662719726562,137.23004150390625,110.56501770019531,33.738548278808594,0.5076421499252319,0.41945546865463257,0.3442337473386058,0.34425993567272506,0.5122674674222011,0.5120675856157972,0.672514619883041,0.5818181818181818,0.001,8,0.10673280637620115,,0.0054937576828180965,,0.038330863247060136,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,45,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,272e72,20240821_45m-272e72,1421,0.99,0.002,real_upside,20240821_45m-272e72_fdima.tgz
40m-all-feats-20240821-084704-true,0c9992e,branch_commit,2024-08-21T17:36:10,,4.0,0.0,0.0,0.0,0.0,6.205473457091681,6.19733146067416,6.189189464256633,6.189189464256633,1.48858642578125,1.48663330078125,1.48468017578125,1.48468017578125,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.3518750000000006,3.359375,44.899999999999984,222.11158123016358,503.54037857055664,90.90000000000003,270.7505477905273,298.0,,0.11944248318810709,0.22171521146556303,0.30147595598968585,0.37485460681836463,0.43929809922234764,0.49560983634831457,0.5475853317860571,0.6030868461302847,0.6418022987665625,0.6451781658590731,0.6155261142873262,0.5749194820988348,0.5168446448436108,0.46298920096354657,0.4077355787806875,0.3509947984146468,0.28660702203841965,0.21381066617227604,0.1240552411988287,,,0.5368534473051686,0.019513364812092794,0.3603421555604968,0.99,0.99,499.5418701171875,327.34674072265625,108.14033508300781,17.029048919677734,0.566092848777771,0.3828103393316269,0.20508930759154329,0.20503883640259937,0.28669069373057227,0.28812371869555387,0.7701863354037267,0.6463414634146342,0.001,23,0.10470281155410976,,0.005539056642179789,,0.03807146876583489,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,40,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,5dec77,20240821_40m-5dec77,1263,0.99,0.002,real_upside,20240821_40m-5dec77_fdima.tgz
35m-all-feats-20240821-084704-true,a9c6861,branch_commit,2024-08-21T17:05:49,,4.0,5.585454384489398,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,4.662421875000001,5.625,43.565,215.23427391052246,503.54037857055664,90.79999999999997,270.7212139129639,298.0,,0.12110041509010931,0.22196878847947812,0.30276063419142907,0.37602491879109345,0.44048494874524546,0.49742748513823976,0.5494067764981224,0.608265946239206,0.6450402746110742,0.6445254160800123,0.6152362681143788,0.5720250569404391,0.5159818929971473,0.46196454925403474,0.40653839743452874,0.34943155364035,0.28596792316020403,0.2134429866723328,0.12383345608909387,,,0.5374730638979415,0.01950396184163976,0.36057530868385435,0.99,0.99,514.759521484375,141.66357421875,78.60197448730469,6.517848968505859,0.5336683988571167,0.3431861847639084,0.5139977137174201,0.5140995615820217,0.7180334178840135,0.7190784291744263,0.6809815950920245,0.6419753086419753,0.005,7,0.10223027739388507,,0.00530488082868282,,0.03786753628383575,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,35,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,5cde81,20240821_35m-5cde81,1105,0.99,0.002,real_upside,20240821_35m-5cde81_fdima.tgz
30m-all-feats-20240821-084704-true,9e55d9e,branch_commit,2024-08-21T16:40:18,,4.0,0.0,0.0,0.0,0.0,4.6277072138088275,4.611423220973781,4.611423220973781,4.611423220973781,1.110107421875,1.106201171875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,3.1475,5.0,43.29999999999998,213.96155109405518,503.54037857055664,90.79999999999997,270.67311401367186,298.0,,0.12301589464100705,0.22237651293897126,0.30436380420415887,0.37766673476606305,0.4426074591478539,0.49861009933483963,0.5516964598809646,0.610347529909333,0.6463755639624165,0.6434223348901156,0.6143704931878382,0.5729300094378097,0.5149233402453656,0.4609279086268357,0.4056680669703945,0.3486818384145269,0.28592224240104847,0.21288753265495639,0.12337021170243277,,,0.5380166349939473,0.01947937908094153,0.360855554289149,0.99,0.99,549.2945556640625,213.2921142578125,98.95991516113281,31.31826400756836,0.4558168947696686,0.4868629276752472,0.6146936286004328,0.6146835562502226,0.7175117329538585,0.7167547821734755,0.7212121212121212,0.6708074534161491,0.001,11,0.09960493469376427,,0.005518045525422331,,0.03775027132856876,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60]",20,30,15,1,True,2,0,3,False,30,True,1,default,3000,0.02,7,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,3f25bd,20240821_30m-3f25bd,947,0.99,0.002,real_upside,20240821_30m-3f25bd_fdima.tgz
